"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2024","31,990","32,565","32,755","31,940","8.98M","-2.56%"
"11/12/2024","32,830","33,365","33,460","32,790","7.90M","-2.09%"
"11/11/2024","33,530","33,865","33,870","33,420","5.85M","-1.61%"
"11/08/2024","34,080","34,440","34,560","33,980","4.20M","-0.12%"
"11/07/2024","34,120","33,985","34,360","33,805","4.69M","-0.04%"
"11/06/2024","34,135","34,355","34,470","33,850","6.53M","-0.23%"
"11/05/2024","34,215","34,090","34,350","34,030","3.73M","-0.57%"
"11/04/2024","34,410","33,930","34,430","33,835","4.65M","1.67%"
"11/01/2024","33,845","33,820","34,055","33,720","3.31M","-0.70%"
"10/31/2024","34,085","34,215","34,380","34,005","4.86M","-1.32%"
"10/30/2024","34,540","34,775","34,825","34,440","3.99M","-1.30%"
"10/29/2024","34,995","34,850","34,995","34,655","2.74M","0.26%"
"10/28/2024","34,905","34,635","34,965","34,605","3.29M","0.91%"
"10/25/2024","34,590","34,610","34,900","34,460","3.70M","0.07%"
"10/24/2024","34,565","34,650","34,780","34,495","3.36M","-0.83%"
"10/23/2024","34,855","34,445","34,985","34,315","3.81M","1.29%"
"10/22/2024","34,410","34,780","34,815","34,310","4.30M","-1.46%"
"10/21/2024","34,920","34,840","35,085","34,710","3.06M","0.29%"
"10/18/2024","34,820","35,090","35,145","34,660","3.95M","-0.59%"
"10/17/2024","35,025","35,050","35,090","34,845","2.75M","0.23%"
"10/16/2024","34,945","34,780","35,085","34,690","4.07M","-0.91%"
"10/15/2024","35,265","35,320","35,345","35,040","3.03M","0.36%"
"10/14/2024","35,140","34,800","35,265","34,800","3.11M","1.18%"
"10/11/2024","34,730","34,895","35,055","34,670","3.65M","0.13%"
"10/10/2024","34,685","34,900","34,950","34,635","3.62M","0.19%"
"10/08/2024","34,620","34,605","34,725","34,440","2.98M","-0.76%"
"10/07/2024","34,885","34,425","34,975","34,175","3.81M","1.59%"
"10/04/2024","34,340","34,270","34,640","34,140","4.51M","-0.04%"
"10/02/2024","34,355","34,160","34,670","34,095","3.43M","-1.05%"
"09/30/2024","34,720","35,760","35,830","34,720","4.55M","-2.29%"
"09/27/2024","35,535","35,765","36,025","35,535","4.14M","-0.41%"
"09/26/2024","35,680","35,125","35,680","35,110","4.65M","3.36%"
"09/25/2024","34,520","35,360","35,535","34,520","5.45M","-1.47%"
"09/24/2024","35,035","34,805","35,035","34,525","4.56M","1.20%"
"09/23/2024","34,620","34,610","34,695","34,480","2.02M","0.30%"
"09/20/2024","34,515","34,805","35,000","34,515","4.25M","0.25%"
"09/19/2024","34,430","34,695","34,725","33,965","5.17M","-0.17%"
"09/13/2024","34,490","34,435","34,645","34,235","2.79M","0.22%"
"09/12/2024","34,415","34,105","34,415","34,045","3.57M","2.29%"
"09/11/2024","33,645","33,890","33,915","33,355","4.35M","-0.94%"
"09/10/2024","33,965","34,130","34,215","33,850","3.98M","-0.43%"
"09/09/2024","34,110","33,640","34,240","33,500","4.81M","-0.67%"
"09/06/2024","34,340","34,675","34,700","34,095","4.28M","-0.89%"
"09/05/2024","34,650","34,875","35,185","34,460","3.79M","-0.16%"
"09/04/2024","34,705","34,865","35,150","34,645","5.89M","-3.48%"
"09/03/2024","35,955","36,260","36,420","35,950","3.00M","-0.84%"
"09/02/2024","36,260","36,300","36,340","35,865","3.51M","-0.11%"
"08/30/2024","36,300","36,310","36,410","36,160","4.17M","0.53%"
"08/29/2024","36,110","36,020","36,235","35,910","3.97M","-1.33%"
"08/28/2024","36,595","36,505","36,595","36,270","3.28M","0.18%"
"08/27/2024","36,530","36,680","36,695","36,435","2.67M","-0.50%"
"08/26/2024","36,715","37,025","37,070","36,595","2.69M","-0.53%"
"08/23/2024","36,910","36,710","37,045","36,695","2.98M","-0.07%"
"08/22/2024","36,935","36,995","37,045","36,735","3.21M","0.15%"
"08/21/2024","36,880","36,695","36,960","36,690","3.08M","-0.14%"
"08/20/2024","36,930","36,960","37,105","36,795","3.37M","1.00%"
"08/19/2024","36,565","37,000","37,025","36,415","4.62M","-0.88%"
"08/16/2024","36,890","36,835","36,980","36,690","5.11M","2.37%"
"08/14/2024","36,035","36,145","36,240","35,930","4.57M","0.94%"
"08/13/2024","35,700","35,715","35,890","35,525","3.52M","0.34%"
"08/12/2024","35,580","35,430","35,715","35,355","2.76M","1.15%"
"08/09/2024","35,175","35,360","35,390","34,990","6.07M","1.37%"
"08/08/2024","34,700","34,355","34,935","34,160","7.03M","-0.74%"
"08/07/2024","34,960","34,040","35,330","33,900","9.91M","2.28%"
"08/06/2024","34,180","34,585","35,200","33,830","13.44M","2.77%"
"08/05/2024","33,260","35,660","35,660","32,445","21.95M","-9.18%"
"08/02/2024","36,620","37,240","37,315","36,460","6.39M","-4.02%"
"08/01/2024","38,155","38,435","38,465","38,125","2.75M","0.08%"
"07/31/2024","38,125","37,575","38,125","37,500","2.43M","1.46%"
"07/30/2024","37,575","37,495","37,655","37,435","3.50M","-1.33%"
"07/29/2024","38,080","37,870","38,225","37,760","2.32M","1.20%"
"07/26/2024","37,630","37,505","37,745","37,425","2.51M","0.53%"
"07/25/2024","37,430","37,575","37,625","37,285","4.42M","-1.82%"
"07/24/2024","38,125","38,025","38,400","37,945","2.63M","-0.59%"
"07/23/2024","38,350","38,525","38,680","38,265","3.54M","0.29%"
"07/22/2024","38,240","38,590","38,635","38,035","3.82M","-1.00%"
"07/19/2024","38,625","38,655","38,720","38,350","3.98M","-1.18%"
"07/18/2024","39,085","38,870","39,085","38,705","3.47M","-0.74%"
"07/17/2024","39,375","39,710","39,730","39,350","2.53M","-0.83%"
"07/16/2024","39,705","39,550","39,830","39,505","3.83M","0.06%"
"07/15/2024","39,680","39,650","39,685","39,320","2.93M","0.63%"
"07/12/2024","39,430","39,665","39,735","39,260","3.40M","-1.38%"
"07/11/2024","39,980","40,055","40,190","39,860","4.07M","0.62%"
"07/10/2024","39,735","39,595","39,795","39,585","2.67M","-0.04%"
"07/09/2024","39,750","39,860","39,870","39,515","3.04M","0.35%"
"07/08/2024","39,610","39,695","39,825","39,600","2.78M","-0.33%"
"07/05/2024","39,740","39,225","39,885","39,215","5.07M","1.85%"
"07/04/2024","39,020","38,815","39,020","38,805","2.82M","1.34%"
"07/03/2024","38,505","38,505","38,520","38,180","3.26M","0.42%"
"07/02/2024","38,345","38,415","38,570","38,230","3.42M","-0.71%"
"07/01/2024","38,620","38,390","38,645","38,355","2.76M","0.19%"
"06/28/2024","38,545","38,460","38,545","38,300","2.72M","0.59%"
"06/27/2024","38,320","37,970","38,345","37,885","3.59M","-0.12%"
"06/26/2024","38,365","37,870","38,365","37,805","2.65M","0.83%"
"06/25/2024","38,050","37,950","38,140","37,905","2.44M","0.29%"
"06/24/2024","37,940","37,950","38,055","37,780","2.20M","-0.76%"
"06/21/2024","38,230","38,260","38,335","38,025","2.51M","-0.86%"
"06/20/2024","38,560","38,375","38,650","38,325","2.61M","0.39%"
"06/19/2024","38,410","38,195","38,430","38,160","3.26M","1.49%"
"06/18/2024","37,845","37,710","37,910","37,610","2.82M","1.05%"
"06/17/2024","37,450","37,470","37,635","37,365","5.37M","-0.54%"
"06/14/2024","37,655","37,550","37,795","37,490","3.47M","0.33%"
"06/13/2024","37,530","37,735","37,980","37,530","4.54M","0.68%"
"06/12/2024","37,275","36,875","37,275","36,875","2.69M","0.88%"
"06/11/2024","36,950","36,990","37,030","36,760","2.80M","0.09%"
"06/10/2024","36,915","36,805","37,130","36,685","2.30M","-0.87%"
"06/07/2024","37,240","37,105","37,395","37,000","2.97M","1.32%"
"06/05/2024","36,755","36,695","36,860","36,430","2.88M","1.00%"
"06/04/2024","36,390","36,430","36,580","36,315","3.00M","-0.74%"
"06/03/2024","36,660","36,265","36,805","36,250","2.95M","1.81%"
"05/31/2024","36,010","36,325","36,410","36,010","3.27M","-0.04%"
"05/30/2024","36,025","36,380","36,385","35,995","4.66M","-1.81%"
"05/29/2024","36,690","37,100","37,190","36,615","4.97M","-1.46%"
"05/28/2024","37,235","37,080","37,305","37,025","2.11M","0.11%"
"05/27/2024","37,195","36,785","37,275","36,705","4.00M","1.39%"
"05/24/2024","36,685","36,715","36,825","36,585","4.57M","-1.56%"
"05/23/2024","37,265","37,215","37,440","36,980","3.89M","0.00%"
"05/22/2024","37,265","37,200","37,375","36,950","3.61M","0.00%"
"05/21/2024","37,265","37,335","37,420","37,215","2.67M","-0.52%"
"05/20/2024","37,460","37,480","37,695","37,355","2.71M","0.83%"
"05/17/2024","37,150","37,515","37,545","37,145","2.25M","-1.17%"
"05/16/2024","37,590","37,870","37,950","37,560","3.57M","0.95%"
"05/14/2024","37,235","37,260","37,290","37,115","3.25M","0.20%"
"05/13/2024","37,160","37,335","37,425","36,995","2.89M","-0.19%"
"05/10/2024","37,230","37,360","37,490","37,150","3.06M","0.51%"
"05/09/2024","37,040","37,480","37,515","36,980","2.48M","-1.12%"
"05/08/2024","37,460","37,310","37,495","37,260","1.90M","0.35%"
"05/07/2024","37,330","37,075","37,370","37,075","3.01M","2.32%"
"05/03/2024","36,485","36,900","36,920","36,470","3.63M","-0.08%"
"05/02/2024","36,515","36,355","36,615","36,335","2.35M","-0.37%"
"04/30/2024","36,650","36,540","36,865","36,455","2.44M","0.36%"
"04/29/2024","36,520","36,465","36,550","36,310","1.86M","-0.23%"
"04/26/2024","36,605","36,570","36,720","36,360","4.15M","1.15%"
"04/25/2024","36,190","36,375","36,510","36,190","2.49M","-1.72%"
"04/24/2024","36,825","36,650","36,940","36,650","3.91M","1.84%"
"04/23/2024","36,160","36,280","36,365","36,075","2.81M","-0.11%"
"04/22/2024","36,200","36,025","36,290","35,880","3.34M","1.34%"
"04/19/2024","35,720","35,845","35,955","35,175","15.13M","-1.88%"
"04/18/2024","36,405","35,875","36,475","35,820","3.82M","1.75%"
"04/17/2024","35,780","36,250","36,355","35,780","4.88M","-1.09%"
"04/16/2024","36,175","36,565","36,670","35,995","7.09M","-2.31%"
"04/15/2024","37,030","36,940","37,045","36,575","5.36M","-0.44%"
"04/12/2024","37,195","37,565","37,615","37,160","4.13M","-0.97%"
"04/11/2024","37,560","36,980","37,725","36,915","5.64M","-0.04%"
"04/09/2024","37,575","38,000","38,085","37,520","2.62M","-0.62%"
"04/08/2024","37,810","37,730","37,895","37,625","2.67M","0.42%"
"04/05/2024","37,650","37,675","37,905","37,505","3.09M","-1.03%"
"04/04/2024","38,040","37,925","38,085","37,855","2.91M","1.43%"
"04/03/2024","37,505","37,850","37,870","37,490","3.83M","-1.51%"
"04/02/2024","38,080","37,950","38,255","37,860","3.81M","0.28%"
"04/01/2024","37,975","38,305","38,345","37,970","2.65M","0.07%"
"03/29/2024","37,950","37,990","38,100","37,765","2.41M","0.33%"
"03/28/2024","37,825","37,830","38,020","37,730","2.74M","-0.05%"
"03/27/2024","37,845","37,630","37,950","37,595","2.09M","0.05%"
"03/26/2024","37,825","37,770","38,210","37,740","4.28M","0.99%"
"03/25/2024","37,455","37,755","37,895","37,375","3.14M","-0.40%"
"03/22/2024","37,605","37,710","37,910","37,450","2.73M","-0.29%"
"03/21/2024","37,715","37,315","37,785","37,295","5.63M","2.71%"
"03/20/2024","36,720","36,360","36,740","36,360","3.30M","1.76%"
"03/19/2024","36,085","36,235","36,235","35,885","4.88M","-1.19%"
"03/18/2024","36,520","36,405","36,530","36,210","3.00M","0.72%"
"03/17/2024","36,260","36,405","36,455","36,220","259.43K","-0.08%"
"03/15/2024","36,290","36,685","36,770","36,290","3.60M","-1.88%"
"03/14/2024","36,985","36,695","37,020","36,695","4.42M","0.90%"
"03/13/2024","36,655","36,625","36,805","36,490","6.16M","0.47%"
"03/12/2024","36,485","36,290","36,565","36,110","5.99M","0.86%"
"03/11/2024","36,175","36,270","36,410","36,130","3.40M","-0.84%"
"03/10/2024","36,480","36,480","36,480","36,480","","0.00%"
"03/08/2024","36,480","36,385","36,615","36,340","4.16M","1.46%"
"03/07/2024","35,955","36,070","36,200","35,785","3.36M","0.07%"
"03/06/2024","35,930","35,880","36,015","35,765","2.75M","-0.36%"
"03/05/2024","36,060","36,235","36,545","36,060","3.43M","-0.80%"
"03/04/2024","36,350","36,210","36,540","36,150","4.11M","1.44%"
"03/03/2024","35,835","35,835","35,835","35,835","","0.00%"
"02/29/2024","35,835","35,800","35,950","35,610","2.65M","-0.26%"
"02/28/2024","35,930","35,585","36,040","35,495","3.98M","1.23%"
"02/27/2024","35,495","35,815","35,900","35,455","3.08M","-0.85%"
"02/26/2024","35,800","35,875","35,960","35,510","3.99M","-0.80%"
"02/25/2024","36,090","36,090","36,090","36,090","","0.00%"
"02/23/2024","36,090","36,300","36,510","36,040","3.72M","0.31%"
"02/22/2024","35,980","36,130","36,165","35,845","3.44M","0.52%"
"02/21/2024","35,795","35,855","36,110","35,675","3.73M","-0.22%"
"02/20/2024","35,875","36,200","36,220","35,670","3.88M","-1.17%"
"02/19/2024","36,300","35,845","36,375","35,840","3.72M","1.57%"
